,precision,recall,f1-score,support
climbing_stairs,1.0,1.0,1.0,720.0
descending_stairs,1.0,1.0,1.0,720.0
eating,1.0,0.9594594594594594,0.9793103448275862,74.0
running,1.0,1.0,1.0,720.0
sitting,0.9894736842105263,0.39166666666666666,0.5611940298507463,720.0
standing,0.6217616580310881,1.0,0.7667731629392971,720.0
walking,1.0,1.0,1.0,720.0
walking_fast,1.0,1.0,1.0,720.0
accuracy,0.9137661321861557,0.9137661321861557,0.9137661321861557,0.9137661321861557
macro avg,0.9514044177802018,0.9188907657657658,0.9134096922022037,5114.0
weighted avg,0.9452658283953778,0.9137661321861557,0.9050851279480001,5114.0
